,Business,distance,price,rating,Popular,Location
0,Trophy Room,97.5317734839,2,3.5,148,"['26 Chandler St', 'Boston, MA 02116']"
1,Chandler Inn Hotel,114.75186437119999,2,3.5,64,"['26 Chandler St', 'Boston, MA 02116']"
2,Club Cafe,121.52346175843999,2,3.0,285,"['209 Columbus Ave', 'Boston, MA 02116']"
3,Chandler Studios,170.02480760519998,3,5.0,2,"['54 Berkeley St', 'Boston, MA 02116']"
4,Hotel 140,286.1360975678,2,3.0,65,"['140 Clarendon St', 'Boston, MA 02116']"
5,Tico Boston,322.0209033934,2,3.5,453,"['222 Berkeley St', 'Boston, MA 02116']"
6,Boston Park Plaza,335.5099567516,3,3.0,78,"['50 Park Plz', 'Boston, MA 02116']"
7,Strip By Strega,352.185390656,4,4.0,168,"['64 Arlington St', 'Boston, MA 02116']"
8,The Boston Eagle,361.627790771,1,3.0,70,"['520 Tremont St', 'Boston, MA 02116']"
9,Clerys Bar & Restaurant,372.658931334,2,3.0,358,"['113 Dartmouth St', 'Boston, MA 02116']"
10,Brownstone,378.44888603879997,2,3.5,248,"['111 Dartmouth St', 'Boston, MA 02116']"
11,MJ O'Connor's Irish Pub,415.2579036396,2,3.0,188,"['27 Columbus Ave', 'Boston, MA 02116']"
12,Revere Hotel Boston Common,421.96453840839996,3,3.5,281,"['200 Stuart St', 'Boston, MA 02116']"
13,Boston Park Plaza,437.97125935599996,3,2.5,713,"['50 Park Plz', 'Boston, MA 02116']"
14,The Parish Cafe,443.523240955,2,4.0,1181,"['361 Boylston St', 'Boston, MA 02116']"
15,Four Seasons,533.3561008595999,4,4.0,107,"['200 Boylston St', 'Boston, MA 02116']"
16,Courtyard Boston Downtown,557.7473061797999,2,2.5,167,"['275 Tremont St', 'Boston, MA 02116']"
17,Taj Boston,559.5760957821999,3,3.5,184,"['15 Arlington St', 'Boston, MA 02116']"
18,Abby Lane Food & Spirits,567.17325884,2,3.5,312,"['255 Tremont St', 'Boston, MA 02116']"
19,W Lounge,571.1334261515999,3,3.0,84,"['100 Stuart St', 'W Hotel', 'Boston, MA 02116']"
20,Franklin Café,578.80878704,2,4.0,479,"['278 Shawmut Ave', 'Boston, MA 02118']"
21,DoubleTree by Hilton Hotel Boston-Downtown,585.3254070349999,2,3.0,149,"['821 Washington St', 'Boston, MA 02111']"
22,Lolita Cocina & Tequila Bar,598.3120888188,2,4.0,1264,"['271 Dartmouth St', 'Boston, MA 02116']"
23,Copley Square Hotel,608.1873370202,3,3.5,136,"['47 Huntington Avenue', 'Boston, MA 02116']"
24,Minibar,608.3580879942,3,3.5,133,"['51 Huntington Ave', 'Boston, MA 02116']"
25,Cure,621.897819469,3,2.0,85,"['246 Tremont St', 'Boston, MA 02116']"
26,Courtyard by Marriott Copley Square,627.0064600848,2,3.5,57,"['88 Exeter St', 'Boston, MA 02116']"
27,Boston Marriott Copley Place,644.8589974519999,3,3.5,226,"['110 Huntington Ave', 'Boston, MA 02116']"
28,Cathedral Station,662.506215222,2,3.5,36,"['1222 Washington St', 'Boston, MA 02118']"
29,Intermission Tavern,668.9255988942,2,3.5,312,"['228 Tremont St', 'Boston, MA 02116']"
30,J J Foley's Cafe,670.4518003897999,2,4.0,179,"['117 E Berkeley St', 'Boston, MA 02118']"
31,Star Market,673.3856272098,2,3.0,36,"['53 Huntington Ave', 'Boston, MA 02199']"
32,Anchovies,679.036390098,2,4.0,319,"['433 Columbus Ave', 'Boston, MA 02116']"
33,Lion's Tail,700.6170601356,2,3.5,28,"['354 Harrison Ave', 'Boston, MA 02118']"
34,Lenox Hotel,704.2456712203999,3,4.5,173,"['61 Exeter St', 'Boston, MA 02116']"
35,City Bar,713.1917991595999,3,4.0,250,"['61 Exeter St', 'Boston, MA 02199']"
36,El Triunfo,715.6026548532,1,3.5,222,"['147 E Berkeley St', 'Boston, MA 02118']"
37,Solas,718.4577527604,2,3.5,287,"['710 Boylston St', 'Boston, MA 02199']"
38,Airbrush One,724.8368546523999,2,5.0,2,"['Boston, MA 02116']"
39,Limelight Stage + Studios,726.8178556319999,2,3.0,181,"['204 Tremont St', 'Boston, MA 02116']"
40,Lucca Back Bay,727.698164612,3,4.0,250,"['116 Huntington Ave', 'Boston, MA 02116']"
41,The Glass Slipper,760.0471860839999,3,2.5,52,"['22 Lagrange St', 'Boston, MA 02116']"
42,Uno Pizzeria & Grill,762.3209742898,2,3.0,158,"['731 Boylston St.', 'Boston, MA 02116']"
43,Dumpling Cafe,765.2594681958,2,3.5,586,"['695 Washington St', 'Boston, MA 02111']"
44,Centerfolds,772.7070270071999,3,2.5,51,"['12 Lagrange St', 'Boston, MA 02116']"
45,The Colonnade Hotel,828.32810267,3,4.0,147,"['120 Huntington Ave', 'Boston, MA 02116']"
