Organization Group,Department,Total Compensation
Community Health,Public Health,96190.19013988487
Culture & Recreation,Academy of Sciences,107319.72769230767
Culture & Recreation,Arts Commission,94339.59738764046
Culture & Recreation,Asian Art Museum,71401.52006042302
Culture & Recreation,Fine Arts Museum,44205.43989478499
Culture & Recreation,Law Library,188424.36222222226
General Administration & Finance,Assessor/Recorder,89994.26061397773
General Administration & Finance,Board of Supervisors,78801.34764132547
General Administration & Finance,City Attorney,166082.67756061684
General Administration & Finance,City Planning,89022.8769657349
General Administration & Finance,Civil Service Commission,67966.75655913982
General City Responsibilities,General Fund Unallocated,15824.151304347828
Human Welfare & Neighborhood Development,Child Support Services,100044.07099747477
Human Welfare & Neighborhood Development,Children and Families Commission,96575.36619047615
Human Welfare & Neighborhood Development,"Children, Youth & Their Families",74304.9332835822
Human Welfare & Neighborhood Development,Community Investment & Infrastructure,42864.05653846154
Human Welfare & Neighborhood Development,Department of the Status of Women,47968.52290322583
Public Protection,Adult Probation,100179.75876692815
Public Protection,Department of Emergency Management,127421.75279331968
Public Protection,District Attorney,141215.3785571144
Public Protection,Fire Department,180788.0869790982
Public Protection,Juvenile Probation,78586.8298231393
"Public Works, Transportation & Commerce",Airport Commission,96191.57823387011
"Public Works, Transportation & Commerce",Board of Appeals,51990.63488888887
"Public Works, Transportation & Commerce",Department of Building Inspection,112051.6151824817
"Public Works, Transportation & Commerce",Economic and Workforce Development,106112.40943204873
"Public Works, Transportation & Commerce",General Services Agency - Public Works,89741.68256691552
