Job Family,Total Benefits,Total Compensation,PercentofCompensation
Public Service Aide,11245.792132380955,32550.869273492066,34.548361943559556
Library,10415.835535714286,30589.509285714284,34.050351832805056
Park & Zoo,21990.847777777777,65199.80611111111,33.728394437710115
Revenue,15194.403416666668,46589.25508333334,32.613535866775976
Museum & Cultural Affairs,27037.39,83926.07,32.215722718816686
Community Development,17575.76,55934.44999999999,31.422066365182822
Housekeeping & Laundry,24296.561893828955,78630.10065464042,30.899822957806517
Street Transit,28961.41693198882,94647.5419363803,30.59922776595293
Recreation,6581.215943223443,21621.85704670329,30.43779231824534
Dietary & Food,15628.943805755398,51576.19944484412,30.302627905860103
Computer Operatns & Repro Svcs,19260.142666666667,64034.11577235772,30.07793960197213
Semi-Skilled & General Labor,24416.81312430553,82460.19455287703,29.610423861719624
"Payroll, Billing & Accounting",30003.250484126977,101379.1082716728,29.595101984646714
Hospital Administration,30095.614899999997,102000.93347500001,29.505234780401597
Agriculture & Horticulture,28666.349139652026,97239.59444139194,29.480120011123407
"Clerical, Secretarial & Steno",7221.2545786435785,24650.22645727113,29.294881291094633
Pub Relations & Spec Assts,28819.732,98635.98199999999,29.21827452379397
"Budget, Admn & Stats Analysis",20103.658041666666,68828.60421527778,29.20828959248935
Purchasing & Storekeeping,26821.593567129636,91844.96051851852,29.203119491484404
Med Therapy & Auxiliary,24563.309062056745,84471.69799290776,29.07874429624829
Information Systems,25713.778333333335,89362.08627777777,28.774818722789536
Personnel,10209.287131410258,36070.96036217949,28.303341604718472
Human Services,29205.136334891336,103199.55216658668,28.299673517718226
SF Superior Court,13636.096666666666,48377.159999999996,28.187054938046526
Health & Sanitation Inspection,37237.51775,133347.449,27.92518194330062
Sub-Professional Engineering,21909.733660256406,78717.33588461537,27.833428829923694
Protection & Apprehension,28823.30008328856,105297.9517424364,27.373087136387674
Airport Operation,33682.189988,123218.69991333337,27.335290837909
Professional Engineering,29536.64930555555,110515.67205555557,26.726208831909066
Skilled Labor,29859.710738584465,111832.80219786905,26.70031524896676
Legal & Court,29356.290615384616,110038.47423076919,26.678205800836114
Construction Inspection,31535.95789924085,118978.86730262249,26.50551195703453
Administrative-DPW/PUC,37692.466,145259.268,25.948406954659852
Journeyman Trade,34357.55135869559,133430.57715460088,25.74938375548419
Nursing,23315.346806870955,91640.93335677806,25.442066064625564
"Lab, Pharmacy & Med Techs",31896.673394444446,125584.74969027781,25.398524480965495
Management,35615.85559259259,140669.38922222223,25.31883858280532
Probation & Parole,33016.35857142857,131710.05714285714,25.067454443222907
Public Safety Inspection,37499.64526086956,149656.2919202899,25.05717920690075
Supervisory-Labor & Trade,37872.01568484637,154569.7648679334,24.501567765988874
Correction & Detention,32858.21904305852,141448.25389347918,23.229851297989967
Administrative-Labor & Trades,39364.38218253968,172979.3625952381,22.75669281696343
Medical & Dental,29142.5425,136509.69874999998,21.34833111995275
Fire Services,38707.48582688421,187614.5474275616,20.631388321222403
Police Services,32583.04387762313,162359.04641596408,20.068511485430466
