Receiver Name,Count
richard.shapiro,15149
jeff.dasovich,14207
tana.jones,12828
steven.kean,12754
sara.shackleton,11434
james.steffes,10347
mark.taylor,9787
pete.davis,9284
susan.mara,9064
paul.kaufman,8522
louise.kitchen,8305
tim.belden,7991
sally.beck,7316
john.lavorato,7259
gerald.nemec,6766
harry.kingerski,6562
kay.mann,6528
karen.denne,6259
joe.hartsoe,6191
sandra.mccubbin,6114
greg.whalley,6019
sarah.novosel,5925
elizabeth.sager,5885
alan.comnes,5742
richard.sanders,5577
kate.symes,5470
daren.farmer,5461
william.bradford,5111
susan.bailey,4978
vkaminski,4961
linda.robertson,4949
benjamin.rogers,4904
mark.palmer,4722
vince.kaminski,4607
mary.hain,4480
chris.germany,4375
mary.cook,4357
skean,4313
kenneth.lay,4273
don.baughman,4263
mark.haedicke,4009
christian.yoder,3990
mike.grigsby,3962
scott.neal,3955
brent.hendry,3939
dana.davis,3899
carol.clair,3889
stephanie.panus,3872
steven.harris,3779
michelle.lokay,3779
robert.badeer,3716
jeffrey.hodge,3706
janel.guerrero,3634
jeff.skilling,3627
edward.sacks,3594
matthew.lenhart,3542
rick.buy,3523
jdasovic,3516
leslie.reeves,3489
lorraine.lindberg,3484
shelley.corman,3447
john.arnold,3394
chris.foster,3370
genia.fitzgerald,3366
kimberly.watson,3364
michael.etringer,3358
don.black,3335
mike.mcconnell,3332
all.worldwide,3324
leslie.hansen,3315
jeff.richter,3292
mark.frevert,3275
tracy.ngo,3229
jeffrey.shankman,3221
keith.holst,3220
samantha.boyd,3197
john.sherriff,3187
tk.lohman,3168
dennis.benevides,3143
joe.stepenovitch,3139
vicki.sharp,3136
lindy.donoho,3115
alan.aronowitz,3112
tanya.rohauer,3104
david.delainey,3093
susan.scott,3089
marie.heard,3081
leslie.lawner,3031
russell.diamond,3019
doug.gilbert-smith,2971
suzanne.adams,2917
phillip.allen,2902
donna.fulton,2899
tom.moran,2892
geoff.storey,2885
david.portz,2884
kevin.hyatt,2871
christi.nicolay,2868
eric.bass,2865
ted.murphy,2850
ginger.dernehl,2826
dan.leff,2822
lisa.mellencamp,2818
debra.perlingiere,2814
errol.mclaughlin,2795
d..steffes,2777
james.wright,2773
mona.petrochko,2768
maureen.mcvicker,2763
john.kinser,2756
lloyd.will,2756
m..presto,2722
kam.keiser,2717
lisa.lees,2711
greg.wolfe,2704
mike.smith,2691
stacy.dickson,2679
mark.guzman,2670
wanda.curry,2669
kevin.presto,2667
karen.lambert,2666
sheila.tweed,2655
rod.hayslett,2650
elizabeth.linnell,2650
marty.sunde,2647
debbie.brackett,2640
bob.bowen,2624
rogers.herndon,2623
mpalmer,2611
joe.errigo,2598
christopher.calger,2598
jeff.king,2582
janet.dietrich,2572
bryan.hull,2571
juan.hernandez,2556
john.griffith,2556
robert.benson,2555
travis.mccullough,2552
barry.tycholiz,2549
patrick.hanse,2536
mike.maggi,2534
judy.townsend,2510
clint.dean,2504
mike.carson,2483
david.baumbach,2479
jeremy.blachman,2475
vladimir.gorny,2430
scott.goodell,2429
andy.zipper,2413
dan.hyvl,2389
brant.reves,2384
recipients,2378
dutch.quigley,2377
mark.koenig,2374
michael.tribolet,2362
jeffrey.mcmahon,2355
tom.may,2354
stanley.horton,2350
eric.saibi,2350
andrea.ring,2349
frank.sayre,2325
larry.campbell,2324
diana.scholtes,2315
dean.laurent,2315
stephanie.sever,2306
mike.swerzbin,2301
david.forster,2300
ben.jacoby,2298
robert.bruce,2297
jason.wolfe,2287
phillip.platter,2272
corry.bentley,2267
juan.padron,2266
jeffrey.miller,2264
mday,2260
kayne.coulter,2259
edward.baughman,2249
robert.frank,2246
rika.imai,2227
sean.crandall,2227
victor.lamadrid,2221
barbara.gray,2207
brad.mckay,2205
jonathan.mckay,2201
shari.stack,2197
julia.murray,2192
james.derrick,2181
chris.mallory,2170
kathryn.corbally,2167
michelle.cash,2163
robert.williams,2160
steve.walton,2158
jay.reitmeyer,2143
david.fairley,2139
lynn.blair,2125
russell.ballato,2114
shonnie.daniel,2110
peter.makkai,2105
jason.choate,2103
scott.stoness,2096
neil.bresnan,2079
jeffery.fawcett,2062
s..shively,2061
robert.stalford,2058
k..allen,2053
gordon.savage,2042
lisa.gillette,2041
joseph.alamo,2038
frank.ermis,2037
jubran.whalan,2033
hgovenar,2024
melissa.murphy,2021
mark.muller,2020
carol.moffett,2020
tom.briggs,2020
david.parquet,2012
bill.williams,2004
j..sturm,1999
larry.valderrama,1996
harold.buchanan,1992
ray.alvarez,1984
kim.theriot,1981
kimberly.hillis,1981
drew.fossum,1979
kevin.cline,1978
janelle.scheuer,1973
robert.neustaedter,1972
all.houston,1967
gautam.gupta,1964
frank.vickers,1963
beverly.aden,1963
klay,1955
marcus.nettelton,1954
maria.valdes,1950
lisa.burnett,1943
bill.rust,1936
scott.gahn,1929
roger.yang,1920
w..white,1913
gerald.gilbert,1913
mark.fischer,1908
daniel.reck,1907
harry.collins,1905
evan.hughes,1896
steve.olinde,1893
richard.causey,1892
meredith.eggleston,1889
shawna.flynn,1888
john.neslage,1887
tom.alonso,1884
doug.sewell,1884
cheryl.nelson,1876
shirley.crenshaw,1874
gfergus,1874
matt.motley,1861
raymond.bowen,1858
matt.lorenz,1858
rudy.acevedo,1848
james.lewis,1840
jim.schwieger,1836
jess.hewitt,1831
peter.keohane,1829
kevin.ruscitti,1827
j..kean,1825
d..thomas,1806
steve.montovano,1789
fred.lagrasta,1787
kathy.dodgen,1780
bob.shults,1780
david.ryan,1779
sharon.dick,1768
kathleen.carnahan,1768
mary.ogden,1762
janine.migden,1761
wes.colwell,1758
jim.fallon,1755
bill.votaw,1753
susan.landwehr,1752
angela.davis,1748
john.viverito,1746
george.mcclellan,1744
debora.whitehead,1743
oscar.dalton,1741
brent.price,1741
sgovenar,1736
jim.homco,1725
david.oxley,1724
smara,1711
frank.davis,1710
bruce.mills,1710
terri.clynes,1706
tori.kuykendall,1704
cara.semperger,1696
john.nowlan,1691
hunter.shively,1688
earl.tisdale,1685
harry.arora,1682
mark.greenberg,1671
brian.redmond,1671
vkamins,1669
veronica.espinoza,1668
joe.quenet,1667
richard.leibert,1665
colleen.sullivan,1664
mark.symms,1663
larry.jester,1661
sharen.cason,1658
larry.may,1656
narsimha.misra,1654
ina.rangel,1650
vladi.pimenov,1649
daniel.allegretti,1644
larry.hunter,1642
paul.y'barbo,1638
victoria.versen,1635
samuel.schott,1634
gretchen.lotz,1633
sheri.thomas,1631
gary.lamphier,1628
kevin.hughes,1625
kimberlee.bennick,1625
rahil.jafry,1621
angela.schwarz,1620
stacey.richardson,1615
jennifer.thome,1615
m..love,1614
keith.comeaux,1611
robert.superty,1610
diana.allen,1608
evelyn.metoyer,1607
philippe.bibi,1607
anne.koehler,1592
bernice.rodriguez,1592
brenda.barreda,1591
clayton.vernon,1590
robert.walker,1589
neil.hong,1588
rita.wynne,1588
sheila.glover,1583
kathy.bass,1583
s..bradford,1581
taffy.milligan,1580
gayle.muench,1576
craig.sutter,1576
michael.mann,1576
jklauber,1574
michelle.cisneros,1573
richard.zdunkewicz,1567
ken.gustafson,1566
mark.mcconnell,1566
stephanie.piwetz,1559
f..brawner,1558
jeff.messina,1558
susan.flynn,1557
stephanie.miller,1555
eric.melvin,1553
rob.milnthorp,1552
chris.dorland,1546
tony.spruiell,1546
erik.serio,1545
souad.mahmassani,1544
rita.hennessy,1544
mike.curry,1541
rosalinda.tijerina,1540
steve.hooser,1540
anthony.campos,1538
janice.moore,1536
lesli.campbell,1535
andy.pace,1534
chris.lenartowicz,1532
m..tholt,1526
jennifer.rudolph,1524
douglas.huth,1524
ann.white,1523
a..martin,1522
jennifer.fraser,1521
howard.fromer,1520
fletcher.sturm,1519
leticia.botello,1517
terri.greenlee,1515
tasha.lair,1514
daren.j.farmer,1514
marsha.suggs,1514
fran.deltoro,1510
leasa.lopez,1510
christina.liscano,1510
paul.schiavone,1507
tanya.leslie,1505
joe.parks,1503
stuart.zisman,1499
janet.moore,1497
rob.bradley,1494
o'neal.winfree,1493
sue.nord,1492
cathy.corbin,1491
darrell.schoolcraft,1489
erika.dupre,1489
bill.hare,1489
michael.brown,1486
pat.clynes,1484
a..shankman,1483
paul.choi,1482
holden.salisbury,1481
dick.jenkins,1481
todd.decook,1476
marchris.robinson,1476
legal<.taylor,1472
iris.waser,1470
lisa.yoho,1465
paul.radous,1452
laurel.adams,1448
craig.breslau,1448
dianne.seib,1445
cliff.baxter,1434
danny.mccarty,1433
sandi.braband,1432
justin.laverell,1429
kerri.thompson,1429
john.hodge,1428
tammie.schoppe,1425
chuck.ames,1423
dorothy.youngblood,1423
john.suttle,1422
casey.evans,1420
mary.smith,1417
patti.sullivan,1416
kim.ward,1409
jefferson.sorenson,1404
anne.bike,1399
tom.donohoe,1397
edward.terry,1397
l..gay,1396
kerry.stroup,1391
dale.neuner,1387
tom.hoatson,1382
kaye.ellis,1377
chad.starnes,1377
