Sender Name,Count
kay.mann,16735
vince.kaminski,14368
jeff.dasovich,11411
pete.davis,9149
chris.germany,8801
sara.shackleton,8777
enron.announcements,8587
tana.jones,8490
steven.kean,6759
kate.symes,5438
matthew.lenhart,5265
eric.bass,5158
no.address,5112
debra.perlingiere,4387
sally.beck,4343
mark.taylor,4111
susan.scott,4000
gerald.nemec,3888
drew.fossum,3706
john.arnold,3578
carol.clair,3564
benjamin.rogers,3427
richard.sanders,3262
phillip.love,3112
david.delainey,3069
darron.giron,2963
daren.farmer,2812
mike.mcconnell,2742
jeffrey.shankman,2681
elizabeth.sager,2636
john.lavorato,2585
robin.rodrigue,2496
40enron,2435
phillip.allen,2195
mark.haedicke,1941
scott.neal,1859
chris.dorland,1840
michelle.cash,1824
outlook.team,1799
louise.kitchen,1728
mike.grigsby,1719
arsystem,1716
susan.mara,1687
d..steffes,1655
mary.hain,1456
dan.hyvl,1454
larry.campbell,1388
james.steffes,1346
errol.mclaughlin,1325
j.kaminski,1247
kimberly.watson,1217
richard.shapiro,1215
lynn.blair,1210
announcements.enron,1195
maureen.mcvicker,1186
exchangeinfo,1135
rosalee.fleming,1119
stanley.horton,1073
mjones7,1063
marie.heard,1061
rod.hayslett,1061
matt.smith,1060
rick.buy,1053
hunter.shively,1052
shirley.crenshaw,974
sherri.sera,971
mark.guzman,970
shelley.corman,940
ginger.dernehl,925
james.derrick,909
michelle.lokay,904
mary.cook,901
dana.davis,899
perfmgmt,893
david.forster,891
judy.hernandez,888
noreply,887
m..presto,885
office.chairman,879
soblander,863
karen.denne,851
christi.nicolay,836
evelyn.metoyer,830
leslie.hansen,829
kevin.hyatt,821
tori.kuykendall,813
info,812
lorna.brennan,806
liz.taylor,805
patrice.mims,776
mike.maggi,772
tracy.geaccone,770
jane.tholt,767
rhonda.denton,760
feedback,747
cara.semperger,736
m..love,732
barry.tycholiz,732
mike.carson,721
bill.williams,716
owner-nyiso_tech_exchange,712
kerri.thompson,711
houston <.ward,708
veronica.espinoza,688
jae.black,677
stephanie.panus,675
mark.greenberg,674
randall.gay,652
v.weldon,647
alan.comnes,645
miyung.buster,644
kevin.ruscitti,631
darrell.schoolcraft,624
sgovenar,619
bill.iii,612
dutch.quigley,605
victor.lamadrid,602
mark.whitt,588
kam.keiser,587
ben.jacoby,579
ann.schmidt,570
joe.parks,566
sarah.novosel,565
m..scott,556
greg.whalley,556
janette.elbertson,554
ami.chokshi,550
sheila.glover,534
chris.stokley,532
monika.causholli,527
rob.gay,526
enron_update,523
legal <.taylor,514
michelle.nelson,509
owner-eveningmba,508
shona.wilson,503
w..white,501
mark.schroeder,497
andy.zipper,497
tim.belden,484
j..kean,483
vkaminski,480
sandra.brawner,480
andrea.ring,473
taffy.milligan,471
kay.chapman,469
cheryl.nelson,460
joseph.alamo,458
leonardo.pacheco,457
exchange.administrator,455
wsmith,454
cheryl.johnson,452
m..forney,450
stacy.dickson,448
amy.fitzpatrick,446
audrey.robertson,446
twanda.sweet,444
fletcher.sturm,441
robert.cotten,429
newsletter,428
fool,417
susan.pereira,417
brent.hendry,415
jeffery.fawcett,415
public.relations,412
kim.ward,410
lavorato,409
m..schmidt,407
ina.rangel,404
stephanie.piwetz,401
alan.aronowitz,396
john.griffith,392
paul.kaufman,389
don.miller,388
stacey.white,387
issuealert,384
zimin.lu,384
kayne.coulter,381
lindy.donoho,380
cooper.richey,376
juan.hernandez,363
patti.thompson,363
ecenter,363
david.oxley,362
b..sanders,362
chris.foster,360
a..shankman,358
webmaster,358
brant.reves,356
john.zufferli,352
nytdirect,348
postmaster,347
stinson.gibner,345
sharen.cason,345
kenneth.thibodeaux,343
janel.guerrero,343
mday,341
michael.tribolet,340
cynthia.sandherr,339
tanya.rohauer,335
t..lucci,335
susan.bailey,335
lysa.akin,334
jonathan.mckay,333
eric.gillaspie,332
chairman.ken,332
c..giron,329
lisa.yoho,329
suzanne.adams,327
diana.scholtes,325
linda.robertson,325
karen.buckley,323
marketing,320
news,320
pmadpr,317
k..allen,317
russell.diamond,313
stephanie.miller,312
reagan.rorschach,311
don.baughman,309
david.minns,309
robert.bruce,308
bob.shults,307
mark.palmer,304
grace.rodriguez,304
crcommunications,301
navigator,300
holly.keiser,299
kristin.walsh,299
shari.stack,296
jeffrey.keeler,295
beth.cherry,294
marcus.nettelton,292
gfergus,292
gavin.dillingham,292
mark.mcconnell,292
cindy.stark,291
douglass,289
becky.spencer,288
bryant,286
chairman.enron,285
peter.keohane,284
stephanie.sever,284
dkinney,282
mary.poorman,279
nancy.sellers,279
rcarroll,278
lgoldseth,277
martin.cuilla,275
justin.boyd,274
ccampbell,271
david.portz,271
m..tholt,269
samantha.boyd,267
harry.kingerski,265
ray.alvarez,264
peter.keavey,263
kaminski,260
joe.quenet,260
kevin.presto,258
samuel.schott,257
joannie.williamson,256
jr..legal,255
virginia.thompson,255
jim.schwieger,255
sue.nord,254
jeffrey.gossett,253
melissa.murphy,253
paul.y'barbo,252
aimee.lannou,251
administration.enron,248
savita.puthigai,247
travis.mccullough,247
kathleen.carnahan,246
stuart.zisman,246
ken.skilling,246
lora.sullivan,246
janet.butler,242
jinsung.myung,241
cathy.phillips,239
kimberly.hundl,235
kimberly.hillis,235
gelliott,233
kay.young,231
