Words,Count
enron,5150
subject,1903
ect,1745
richard,1711
cc,1696
pm,1664
ees,1481
market,1479
would,1328
california,1315
power,1133
energy,1094
forwarded,1056
jeff,985
please,728
j,711
electricity,702
also,662
state,645
may,629
mark,619
price,616
sent,604
new,599
gas,565
need,564
one,537
information,536
attached,523
steven,521
joe,505
dasovich,501
get,498
james,494
ferc,492
said,490
issues,488
thanks,473
call,468
meeting,465
think,457
us,455
enronxgate,455
know,450
time,447
regulatory,447
contracts,442
governor,435
message,432
prices,429
france,420
make,417
paul,416
could,406
like,395
davis,386
see,380
capacity,377
susan,376
utilities,365
steve,361
group,356
draft,353
customers,343
john,342
transmission,335
bill,335
services,333
however,332
comments,332
two,332
next,332
markets,332
business,326
government,321
process,315
last,313
want,312
issue,306
rick,292
supply,292
edf,290
well,289
today,289
shapiro,288
let,286
week,284
changes,282
commission,279
committee,278
forward,278
linda,277
work,274
industry,274
good,272
take,270
first,266
press,263
monday,261
rates,261
public,260
company,259
generation,259
go,258
use,257
system,254
iso,253
points,252
way,251
support,249
policy,247
day,245
end,244
year,244
rate,243
utility,242
best,242
office,239
staff,239
much,239
eu,239
plan,239
point,236
generators,233
access,232
still,232
costs,230
likely,230
order,228
wholesale,228
demand,226
e,225
made,225
french,224
position,224
ken,223
robert,223
de,222
high,219
tariff,218
tom,217
per,216
long,215
current,214
karen,214
eligible,214
trading,213
affairs,213
find,212
people,211
provide,211
rte,210
ca,210
talking,208
report,208
problem,207
team,206
working,205
discuss,205
cost,203
conference,203
electric,201
back,201
legislation,201
decision,199
currently,199
list,197
spot,197
right,196
deal,196
project,195
going,195
risk,193
contract,193
including,193
jim,192
questions,189
expected,188
possible,186
copy,185
letter,185
peter,183
proposed,181
asked,181
although,180
l,180
give,180
review,179
put,179
presentation,179
companies,177
years,177
fyi,175
chris,175
shall,174
many,174
pierre,174
part,173
david,173
already,173
increase,172
service,172
intended,172
within,171
release,171
response,169
might,169
thought,169
law,168
continue,168
consumers,167
open,167
regards,166
since,165
sarah,165
term,165
following,165
recent,164
received,164
final,163
million,163
directive,162
washington,162
paper,162
several,162
court,161
conditions,161
harry,160
background,158
federal,157
tim,157
additional,157
fax,157
document,156
general,156
based,156
mike,155
revised,155
even,154
whether,154
edison,154
situation,153
seabron,153
distribution,153
believe,153
commercial,151
san,151
addition,151
michael,150
news,149
passed,148
sure,148
mara,147
legal,147
political,147
alan,147
balancing,146
request,146
required,145
sandra,145
limited,144
rob,143
available,143
necessary,143
senate,143
memo,142
europe,142
bruno,142
independent,142
things,141
summer,141
sue,141
trade,141
bob,140
mary,140
got,140
states,140
future,138
members,138
eric,138
responsible,138
case,138
must,137
statement,137
bad,137
free,137
euenronxgate,136
opinion,135
significant,135
help,135
better,135
set,135
transactions,134
transredes,134
clear,134
proposal,133
management,133
july,133
another,133
gov,133
yet,132
development,132
consider,131
include,131
far,131
financial,131
rules,131
effective,131
email,131
according,131
say,130
used,130
done,130
june,129
puc,129
basis,129
direct,129
lay,128
thoughts,128
yesterday,128
q,126
approved,126
crisis,125
jose,125
auction,124
plants,124
south,123
come,123
date,122
real,121
great,121
needed,121
w,121
tomorrow,121
less,120
tpa,120
grid,120
friday,120
place,120
discussion,120
opportunity,119
least,119
keep,119
act,119
section,119
perhaps,119
august,119
note,119
data,119
due,119
percent,119
look,118
key,118
implemented,118
hour,118
address,118
follow,117
lead,117
scott,117
effort,117
thursday,117
decree,117
approach,117
needs,117
contact,116
buy,116
file,115
bush,115
december,115
talk,115
rule,115
opening,115
existing,115
structure,115
tuesday,114
houston,114
terms,114
comment,113
confidential,113
serious,113
together,113
given,112
later,112
trying,112
level,112
