Author Name,Books Amount
Liane Moriarty,73
Gillian Flynn,68
Paula Hawkins,67
Kristin Hannah,56
David Baldacci,56
Anthony Doerr,52
Nora Roberts,51
John Grisham,51
E L James,49
Donna Tartt,35
Diana Gabaldon,33
Jojo Moyes,31
Michael Connelly,31
Lee Child,28
Nicholas Sparks,28
Andy Weir,28
Christina Baker Kline,26
James Patterson and Maxine Paetro,25
John Sandford,23
Deborah Bladon,22
Stephen King,21
Harlan Coben,21
James Patterson,21
Jodi Picoult,20
Sandra Brown,19
Janet Evanovich,18
Debbie Macomber,18
J D Robb,16
Sue Monk Kidd,15
James Patterson and Michael Ledwidge,15
Marie Force,15
Fern Michaels,15
James Patterson and Marshall Karp,15
Christine Feehan,14
Danielle Steel,14
Daniel Silva,13
Lisa Gardner,13
Stuart Woods,13
Elin Hilderbrand,13
James Patterson and David Ellis,13
Ron Carr,13
Lauren Blakely,12
Maya Banks,12
Jonathan Kellerman,12
Brad Thor,12
Jessica Knoll,12
Audrey Carlan,11
J A Jance,11
Dean Koontz,11
Mark Greaney,11
Jill Shalvis,11
Laurelin Paige,11
Susan Mallery,10
James Patterson and Mark Sullivan,10
Lisa Scottoline,10
Sylvia Day,10
Fredrik Backman,9
Colleen Hoover,9
Kristen Ashley,9
Greg Iles,9
Robert Galbraith,9
JS Cooper and Helen Cooper,9
Jeffrey Archer,8
Katy Evans,8
J R Ward,8
Graeme Simsion,8
Jim Butcher,8
David Lagercrantz,8
Rachel Hauck,8
Cynthia D'Aprix Sweeney,8
H M Ward,8
J S Cooper and Helen Cooper,7
Brian McGilloway,7
Lisa Genova,7
Nalini Singh,7
Catherine Coulter,7
Kristen Pro,7
Penelope Ward,7
Patricia Cornwell,7
Kendall Ryan,7
Jennifer Weiner,7
Anne Tyler,7
Christina Lauren,7
Barbara Freethy,7
Jamie McGuire,7
Janet Evanovich and Lee Goldberg,7
Colson Whitehead,7
Noah Hawley,6
Anna Quindlen,6
Bella Andre,6
Ken Follett,6
Mary Balogh,6
Karin Slaughter,6
Mary Higgins Clark,6
Meredith Wild,6
Alessandra Torre,6
K Bromberg,5
Ann Patchett,5
James Patterson and Howard Roughan,5
Jay Crownover,5
Emily Giffin,5
George R R Martin,5
Douglas Preston and Lincoln Child,5
Abbi Glines,5
Ilona Andrews,5
Sherrilyn Kenyon,5
Philippa Gregory,5
Lisa Renee Jones,5
Emma Cline,5
Melanie Marchande,5
Vince Flynn and Kyle Mills,5
Harper Lee,5
Brad Taylor,5
Vi Keeland,5
Jeffery Deaver,5
Corinne Michaels,5
Iris Johansen,5
C J Box,5
Denise Grover Swank,5
Sawyer Bennett,5
Lexi Blake,5
Tess Gerritsen,5
Michael Crichton,4
J Kenner,4
James Patterson and Michael White,4
Jennifer Ashley,4
Sherryl Woods,4
James Rollins,4
James Patterson and Emily Raymond,4
Craig Johnson,4
Dorothea Benton Frank,4
Brandon Sanderson,4
Liliana Hart,4
Nelson DeMille,4
Mary Kay Andrews,4
Susan Wiggs,4
Tom Clancy with Mark Greaney,4
Hazel Gaynor,4
Joanna Wylde,4
Tijan,4
Steve Berry,4
Kylie Scott,4
J Lynn,4
Patricia Briggs,4
Judy Blume,4
Aurora Rose Reynolds,4
Jana Aston,4
J S Cooper and Helen Cooper,4
Lynsay Sands,4
W E B Griffin and William E Butterworth IV,4
Samantha Young,4
Karina Halle,4
M S Force,4
Joanne Fluke,4
Darynda Jones,4
Jessica Sorensen,4
J Daniels,4
Eve Langlais,4
Fiona Barton,4
Lincoln Child,3
David Weber,3
Laurann Dohner,3
Laurell K Hamilton,3
Penelope Ward and Vi Keeland,3
Clive Cussler and Russell Blake,3
Kresley Cole,3
Helena Hunting,3
Mary Higgins Clark and Alafair Burke,3
Kyle Mills,3
M L Stedman,3
Helen Hardt,3
Louise Penny,3
R L Mathewson,3
Alice Clayton,3
Reed Farrel Coleman,3
Ace Atkins,3
Colleen Hoover and Tarryn Fisher,3
Harper Sloan,3
Grant Blackwood,3
Joyce Maynard,3
Melody Anne,3
Pierce Brown,3
James Hayman,3
Linda Lael Miller,3
Heather Graham,3
Kelley R Martin,3
Paulo Coelho,3
Alex Berenson,3
Jude Deveraux,3
Catherine Coulter and J T Ellison,3
Laura Kaye,3
Jodi Ellen Malpas,3
J S Cooper,3
Tana French,3
HM Ward,3
Kathleen Brooks,3
Susan Stoker,3
Jayne Ann Krentz,3
Jane Green,3
Eloisa James,3
Sue Grafton,3
Eric Rickstad,3
Linda Fairstein,3
Gena Showalter,2
Kathy Reichs,2
Amanda Quick,2
Vi Keeland and Penelope Ward,2
Julia Quinn,2
Sarah McCoy,2
Emma Straub,2
John Lescroart,2
Julie James,2
Joe Hill,2
LA Casey,2
Carly Phillips,2
S E Smith,2
Linda Howard,2
Lori Foster,2
Elle Kennedy,2
Anthony Ryan,2
James Patterson and Kathryn Fox,2
Kevin Hearne,2
Kelly Elliott,2
Shayla Black and Lexi Blake,2
Pepper Winters,2
Clive Cussler and Graham Brown,2
Blake Crouch,2
Jonathan Tropper,2
Alan Dean Foster,2
Clive Cussler and Boyd Morrison,2
Penelope Douglas,2
Anne Hillerman,2
Milly Taiden,2
Clive Cussler,2
Rebecca Zanetti,2
Kim Harrison,2
Jan Karon,2
Whitney G,2
Allison Pataki,2
Stephenie Meyer,2
Elizabeth Strout,2
Justin Cronin,2
Ernest Cline,2
Jeaniene Frost,2
Charlaine Harris,2
Janet Evanovich and Phoef Sutton,2
Rob Thomas and Jennifer Graham,2
Richard Castle,2
Ruth Ware,2
Iris Johansen and Roy Johansen,2
Kristan Higgins,2
Diane Mott Davidson,2
Jasinda Wilder,2
Lora Leigh,2
Anne Bishop,2
Skye Eagleday,2
Kay Hooper,2
Victoria Ashley,2
Jaci Burton,2
Zane,2
P D James,2
Jacqueline Winspear,2
Karen Kingsbury,2
Claire Contreras,2
Richard Paul Evans,2
Steve Martini,2
Robert Crais,2
Anita Diamant,2
Ian McEwan,2
Alexander McCall Smith,2
Deborah Harkness,2
Clive Cussler and Justin Scott,2
VC Andrews,2
S J Watson,2
Helen Cooper,2
Haruki Murakami,1
Michael Lister,1
Sandi Lynn,1
Liz Trenow,1
Amy Tan,1
Susan Elizabeth Phillips,1
Joseph Finder,1
Maggie O'Farrell,1
Max Lucado,1
Haleigh Lovell,1
Diane Chamberlain,1
Faith Hunter,1
Shelley Noble,1
Anne Rice,1
Claudia Gray,1
Lori Nelson Spielman,1
Tim Johnston,1
Grace Burrowes,1
Gennita Low,1
Matthew Thomas,1
Claire Ash,1
Jennifer Ryan,1
Helen Simonson,1
Maeve Binchy,1
Lisa Jackson,1
Georgette Heyer,1
Kevin O'Brien,1
Anne McCaffrey,1
James Rollins and Rebecca Cantrell,1
Francine Rivers,1
Alexa Riley,1
Elle James,1
Jillian Hart and Janet Tronstad,1
Barbara Kingsolver,1
Charles Belfoure,1
Lara Adrian,1
KM Scott,1
Aleatha Romig and others,1
Mary Alice Monroe,1
Cherise Sinclair,1
Lauren Groff,1
Paul Beatty,1
Jasmine Walt,1
Tessa Bailey,1
B A Shapiro,1
Deborah Crombie,1
Laura Lippman,1
Donna Leon,1
Lisa O'Donnell,1
Raine Miller,1
Tessa Dare,1
Bryn Greenwood,1
Sara Paretsky,1
Sophie Kinsella,1
"Eve Langlais, Aubrey Rose, Molly Prince and others",1
Kat Martin,1
Terry Goodkind,1
Rachel Joyce,1
Maria Semple,1
Crista McHugh,1
Stephanie Dray and Laura Kamoie,1
"Bella Andre, Barbara Freethy and others",1
Jean Brashear,1
"JS Scott, M Malone and others",1
"Raine Miller, Cathryn Fox and others",1
Carl Hiaasen,1
Eva Natiello,1
Violet Duke,1
Anthony Horowitz,1
J Sterling,1
J D Robb and others,1
James Patterson with Michael Ledwidge,1
Claire Cook,1
Sarah Waters,1
Rachel Harris,1
David Mitchell,1
Marisa De Los Santos,1
Chanda Hahn,1
Molly McAdams,1
Brad Meltzer,1
Elizabeth George,1
Karen Marie Moning,1
Emily Colin,1
Michael Ponsor,1
Vivian Arend and others,1
Alice Hoffman,1
James Rollins and Grant Blackwood,1
Emma Chase,1
Helene Wecker,1
Cristin Harber and others,1
J S Scott and others,1
