Author Name,Best Seller Books Amount
Douglas Preston,19
Michael Lewis,14
Richard Dawkins,11
Oliver Sacks,10
Martin Dugard,10
David McCullough,9
Diane Ackerman,8
Erik Larson,7
Richard Preston,6
Steven Johnson,6
James Gleick,6
Ben Mezrich,6
Richard Preston,6
Steven Johnson,6
Steven Pinker,6
James Gleick,6
Ben Mezrich,6
Malcolm Gladwell,5
Mary Roach,5
Ron Suskind,5
Malcolm Gladwell,5
Mary Roach,5
Ron Suskind,5
Atul Gawande,4
Hampton Sides,4
Walter Isaacson,4
Gretchen Rubin,4
Michio Kaku,4
Edward O Wilson,4
Carl Safina,4
Daniel J Siegel,4
Arianna Huffington,4
Daniel Goleman,4
Atul Gawande,4
Hampton Sides,4
Michio Kaku,4
Walter Isaacson,4
Gretchen Rubin,4
Daniel J Siegel,4
Edward O Wilson,4
Carl Safina,4
Daniel Goleman,4
Arianna Huffington,4
Andrea Wulf,3
Naomi Klein,3
Daniel J Levitin,3
Lisa Randall,3
David B Agus,3
Gary Taubes,3
Matt Ridley,3
Daniel Bergner,3
Sam Kean,3
Vikram Chandra,3
Adam Cohen,3
Susan Casey,3
Annie Jacobsen,3
Andrew Solomon,3
Steven Kotler,3
Andrea Wulf,3
Naomi Klein,3
Daniel J Levitin,3
Sam Kean,3
Lisa Randall,3
Gary Taubes,3
David B Agus,3
Susan Casey,3
Andrew Solomon,3
Matt Ridley,3
Daniel Bergner,3
Vikram Chandra,3
Steven Kotler,3
Annie Jacobsen,3
Adam Cohen,3
Susan Cain,2
Charles Duhigg,2
Randall Munroe,2
Yuval Noah Harari,2
Alexandra Horowitz,2
Siddhartha Mukherjee,2
Bill Nye,2
Chris Hadfield,2
Margot Lee Shetterly,2
Anne Fadiman,2
Sy Montgomery,2
David B Agus with Kristin Loberg,2
Matt Richtel,2
Tristan Gooley,2
edited  John Brockman,2
Bill Gifford,2
Eric Schmidt and Jared Cohen,2
Virginia Morell,2
Frans de Waal,2
Julie Holland,2
Brian Hare and Vanessa Woods,2
Joshua Horwitz,2
Wendy Williams,2
David Adam,2
Robert Whitaker,2
Jennifer Arnold,2
Jay Barbree,2
Buzz Aldrin with Ken Abraham,2
Jane McGonigal,2
David A Kessler,2
Chris Enss,2
Julian Guthrie,2
Howard Dully and Charles Fleming,2
Jennifer Ackerman,2
Susan Cain,2
Charles Duhigg,2
Randall Munroe,2
Yuval Noah Harari,2
Alexandra Horowitz,2
Siddhartha Mukherjee,2
Bill Nye,2
Chris Hadfield,2
Margot Lee Shetterly,2
Sy Montgomery,2
Anne Fadiman,2
David B Agus with Kristin Loberg,2
Matt Richtel,2
Tristan Gooley,2
edited  John Brockman,2
Bill Gifford,2
Eric Schmidt and Jared Cohen,2
Virginia Morell,2
Frans de Waal,2
Julie Holland,2
Brian Hare and Vanessa Woods,2
Joshua Horwitz,2
Wendy Williams,2
Jared Diamond,2
David Adam,2
Robert Whitaker,2
Jennifer Arnold,2
Jay Barbree,2
Jerry A Coyne,2
Jane McGonigal,2
Alexandra Robbins,2
Gregory Zuckerman,2
Nicholas Wade,2
David A Kessler,2
Chris Enss,2
Julian Guthrie,2
Howard Dully and Charles Fleming,2
Jennifer Ackerman,2
Buzz Aldrin with Ken Abraham,2
Daniel Kahneman,1
Rebecca Skloot,1
Elizabeth Kolbert,1
Ashlee Vance,1
Paul Kalanithi,1
Bessel van der Kolk,1
Stephen W Hawking,1
Amanda Ripley,1
Carlo Rovelli,1
Cat Warren,1
Jordan Ellenberg,1
Hope Jahren,1
Peter Wohlleben,1
Andrew Hodges,1
David Ludwig,1
Naoki Higashida,1
Frances E Jensen with Amy Ellis Nutt,1
Denise Kiernan,1
Mark Miodownik,1
Sheri Fink,1
Steve Silberman,1
